soal;level_kognitif;kelas;pelajaran;kko
Apa yang harus kita perhatikan ketika membaca…;C2;1;Bahasa Indonesia;Mengemukakan
Jelaskan maksud gambar dibawah ini!;C2;1;Bahasa Indonesia;Menjelaskan
Ayo, Dian. Kita ajak teman yang lain. Merupakan contoh dari kalimat ……….;C2;2;Bahasa Indonesia;Mengkategorikan
Kata yang memiliki unsur kalimat ajakan adalah…;C1;2;Bahasa Indonesia;Mengkategorikan
Perhatikan gambar dibawah ini! Tulislah lebih dari, kurang dari, atau sama banyak sesua gambar di bawah ini!;C2;2;Matematika;Mengemukakan
Yang termasuk kalimat perintah, kecuali…;C2;2;Bahasa Indonesia;Membedakan
Arti dari kalimat perintah Minumlah air putih secukupnya untuk mengganti cairan tubuh! Yang tepat dalah..;C2;2;Bahasa Indonesia;Menjelaskan
Dari percakapan diatas manakah yang menunjukkan kalimat penolakan?;C2;2;Bahasa Indonesia;Mencontohkan
Contoh kalimat penolakan yang tepat adalah…;C2;2;Bahasa Indonesia;Mencontohkan
Kegunaan dari sebuah aturan di sekolah …;C2;2;PPKN;Mengemukakan
Siapa yang harus mematuhi aturan dalam bermain..;C2;2;PPKN;Mengemukakan
Benda apa saja yang mempunyai sifat sama dengan air, kecuali…;C2;2;IPA;Mengklasifikasi
Benda padat mempunyai bentuk dan ukuran yang ............. meskipun ditaruh dimanapun.;C2;2;IPA;Mengemukakan
Apa yang dimaksud dengan benda padat? Sebutkan contohnya!;C1;2;IPA;Menjelaskan
Sebutkan sifat benda padat berdasarkan teks di atas…;C1;2;IPA;Menguraikan
Setelah membaca teks di atas , Bagaimana bentuk udara ketika ditiupkan ke balon?;C2;2;IPA;Mengemukakan
Bagaimana tata tertib di sekolah yang ada pada percakapan di atas?;C2;2;PPKN;Mengemukakan
Berdasarkan percakapan di atas! Bagaimana sikap Dayu..;C2;2;PPKN;Mengemukakan
Tata tertib di ata merupakan tata tertib yang harus di patuhi…;C2;2;PPKN;Mengemukakan
Sebutkan nama benda dan sifat benda pada gambar di atas;C1;2;IPA;Mengkategorikan
Ketika datang sekolah terlambat, apa yang akan kita dapatkan..;C2;2;PPKN;Mengemukakan
Hal yang boleh dilakukan ketika dirumah adalah..;C2;2;PPKN;Mengemukakan
Perhatikan gambar dibawah ini! Mana sajakah yang termasuk benda padat?;C2;2;IPA;Mengkategorikan
Berdasarkan paragraf di atas istana pasir adalah..;C2;2;Bahasa Indonesia;Menguraikan
Sebutkan peraturan yang ada di pantai berdasarkan teks percakapan di atas!;C1;2;PPKN;Menguraikan
Sebutkan hal apa saja yang tidak boleh dilakukan ketika dirumah!;C1;2;PPKN;Menyebutkan
Makhluk hidup dapat bernapas, alat pernapasan makhluk hidup berbeda-beda. Manusia bernapas dengan …;C2;3;IPA;Mengemukakan
Kelompokan jenis makanan yang mengandung Protein Hewani ...;C2;3;IPA;Mengkategorikan
Kelompokan jenis makanan yang mengandung Protein nabati...;C2;3;IPA;Mengkategorikan
Kelompok hewan berikut yang berkembang biak dengan cara bertelur.;C2;3;IPA;Mengkategorikan
Angka 8 pada bilangan 8.342 menempati nilai tempat ....;C2;3;Matematika;Menjelaskan
Dibawah ini yang bukan termasuk tumbuhan yang  berkembang biak secara alami dengan biji adalah …;C2;3;IPA;Mengkategorikan
gambar diatas berkembang biak dengan cara …;C2;3;IPA;Menjelaskan
Membersihkan lingkungan serta membuang benda-benda yang sudah tidak dipakai agar tidak dijadikan tempat perkembangbiakan nyamuk. adalah cara mencegah ...;C2;3;IPA;Mengemukakan
gambar poster diatas menjelaskan tentang …;C2;3;Bahasa Indonesia;Menjelaskan
Gambar diatas termasuk tumbuhan yang berkembang biak dengan …;C2;3;IPA;Menjelaskan
Berbuat baik dan menghargai teman dalam setiap kegiatan akan menjadikan kita …;C2;3;PPKN;Mengemukakan
Berikut pernyataan yang bukan merupakan pelestarian makhluk hidup adalah ….;C2;3;IPA;Mengkategorikan
Sikap yang baik seorang murid disekolah ditunjukkan dengan selalu…;C2;3;PPKN;Mengemukakan
Saat mengerjakan tes, Dayu tidak pernah menyontek. salah satu sikap dayu adalah ...;C2;3;PPKN;Mengemukakan
Teman-temanku datang. Mereka berpakaian bagus dan membawakan kado untukku. Aku sangat bahagia. Usiaku bertambah. Teks di atas menceritakan peristiwa:;C2;3;Bahasa Indonesia;Menjelaskan
Salah satu cara  wujud berterima kasih kepada hewan adalah ...;C2;3;IPA;Mengemukakan
Sikap yang harus dikembangkan dalam mewujudkan persatuan dalam keragaman adalah ….;C2;3;PPKN;Mengemukakan
Sikap yang benar dan utama bagi warga negara yang baik adalah.....;C2;3;PPKN;Mengemukakan
Manusia memiliki hak yang sebebas-bebasnya tetapi harus.....;C2;3;PPKN;Mengemukakan
Menghargai hasil karya orang lain menunjukan sikap...;C2;3;PPKN;Mengemukakan
Yang tidak termasuk menghargai keragaman yang tumbuh di masyarakat, adalah . . .;C2;3;PPKN;Mengkategorikan
Berikut ini yang tidak termasuk peraturan di lingkungan keluarga adalah ....;C2;3;PPKN;Mengemukakan
yang termasuk hak ayah adalah …;C1;3;PPKN;Mengkategorikan
Sebutkan suku yang terkenal di Indonesia, kecuali ….;C2;4;IPS;Mengkategorikan
Jelaskan yang kamu ketahui tentang alat musik daerah yang sesuai dengan gambar dibawah ini ;C2;4;IPS;Menggali
Berikut bukan sikap terhadap teman yang berbeda suku adalah …..;C2;4;PPKN;Mengemukakan
Manfaat apa yang didapat pada kegiatan berikut, kecuali ……;C2;4;PPKN;Mengemukakan
Unsur yang terdapat pada suatu paragraf, kecuali ….;C2;4;Bahasa Indonesia;Mengkategorikan
Berikut agama yang di akui menurut peraturan di Indonesia, kecuali …..;C2;4;PPKN;Mengkategorikan
Sumber bunyi dari alat musik daerah dibawah ini adalah …..;C1;4;Seni Budaya;Menjelaskan
Gambar diatas merupakan salah satu sifat bunyi yaitu ……;C1;4;IPA;Menggali
Berikut yang merupakan sumber bunyi yang ada dirumah adalah …..;C1;4;IPA;Menggali
Bagian-bagian telinga berikut kecuali ……;C2;4;IPA;Mengemukakan
Jelaskan yang kamu ketahui tentang gambar diatas !;C2;4;PPKN;Mengemukakan
Bagaimana sikap menghargai kebudayaan daerah?;C2;4;IPS;Mengemukakan
Sebutkan hal yang kamu ketahui dari gambar berikut !;C1;4;PPKN;Merinci
Jelaskan proses terjadinya pendengaran !;C2;4;IPA;Menjelaskan
Berikut warisan kebudayaan Indonesia yang diakui dunia, kecuali …..;C2;4;IPS;Mengkategorikan
Apa yang harus kita lakukan terhadap warisan budaya Indonesia?;C2;4;IPS;Mengemukakan
Berikut kewajiban terhadap lingkungan, kecuali….;C2;4;IPA;Membedakan
Berikut yang bukan termasuk manfaat membaca adalah …..;C2;4;Bahasa Indonesia;Membedakan
Jenis paragraf berdasarkan gagasan pokok, kecuali …..;C2;4;Bahasa Indonesia;Membedakan
Manfaat energi matahari dalam kehidupan sehari – hari yaitu …..;C1;4;IPA;Menjelaskan
Energi alam yang tidak dapat dimanfaatkan menjadi sumber energi listrik yaitu ….;C2;4;IPA;Menjelaskan
Benda berikut dapat menyerap bunyi, kecuali …..;C2;4;IPA;Membedakan
Minyak bumi, emas, besi dan berbagai tambang termasuk ke dalam kelompok sumber daya …..;C2;4;IPA;Mengkategorikan
Berikut sumber daya alam yang dapat diperbaharui adalah ….;C2;4;IPA;Mengkategorikan
Apa manfaat dari kegiatan diskusi / musyawarah?;C1;4;Bahasa Indonesia;Mengemukakan
Apa hak dan kewajiban masyarakat terhadap pemanfaatan sumber energi ?;C2;4;PPKN;Mengemukakan
Bagaimanakah bunyi dapat memantul?;C2;4;IPA;Menjelaskan
Berikut cara menghemat penggunaan kertas yang tepat adalah .....;C2;4;IPA;Menjelaskan
Daripada pergi ke sekolah naik kendaraan, kita dapat naik sepeda atau berjalan kaki merupakan contoh sikap ……;C2;4;PPKN;Mencontohkan
Yang bukan merupakan sikap ramah lingkungan yaitu ….;C2;4;IPA;
Sikap untuk menghemat energi berikut ini kecuali ……;C2;4;IPA;Membedakan
Berikut yang merupakan kalimat ajakan yaitu ….;C2;4;Bahasa Indonesia;Membedakan
Indonesia memiliki sumber daya alam yang sangat berlimpah, termasuk batu bara. Berikut manfaat dari batubara yaitu;C2;4;IPS;Mengemukakan
Peran minyak bumi sangat penting bagi kehidupan sehari hari dalam membangun perekonomian masyarakat. Berikut manfaat minyak bumi, kecuali …..;C2;4;IPS;Membedakan
Contoh Tumbuhan yang dapat digunakan sebagai bahan bakar bio adalah ….;C2;4;IPA;Mencontohkan
Contoh perubahan energi listrik menjadi energi panas pada dalam kehidupan sehari-hari yaitu …..;C2;4;IPA;Mencontohkan
Yang bukan merupakan bentuk energi yaitu …..;C2;4;IPA;Membedakan
Penggunaan kotoran hewan ternak sapi untuk membuat api dari gas metana merupakan sumber energi alternatif yaitu …..;C2;4;IPA;Mengemukakan
Berikan contoh sikap hemat energi dirumah !;C2;4;IPA;Mencontohkan
Sebutkan manfaat penggunaan bahan bakar alternatif bioetanol untuk kendaraan bermotor!;C2;4;IPA;Menguraikan
Bagaimanakah proses terbentuknya batubara?;C2;4;IPA;Menguraikan
Berikan contoh perubahan energi dalam kehidupan sehari hari !;C2;4;IPA;Mengemukakan
Yang bukan merupakan sikap terhadap tumbuhan di lingkungan dirumah yaitu ….;C2;4;PPKN;Membedakan
Yang bukan merupakan sikap peduli kita terhadap hewan adalah …..;C2;4;PPKN;Membedakan
Salah satu contoh kegiatan melestarikan habitat hutan yaitu ….;C2;4;IPA;Mencontohkan
Berikut tanaman yang dapat tumbuh didataran rendah, kecuali….;C2;4;IPA;Membedakan
Indonesia memiliki beragam tumbuhan yang dapat dimanfaatkan sebagai makanan pokok, kecuali….;C2;4;IPA;Membedakan
Bagaimana karakterisitik tempat hidup hewan diatas ?;C2;4;IPA;Menguraikan
Apakah penyebab dari terancamannya kepunahan burung cendrawasih?;C2;4;IPA;Mengemukakan
Jelaskan cara melindungi diri pada bunglon?;C2;4;IPA;Menguraikan
Apa manfaat yang diperoleh dari lingkungan bersih disekitar?;C2;4;IPA;Mengemukakan
Pemenuhan hak dan kewajiban harus dilaksanakan ……;C2;4;PPKN;Mengemukakan
Apa kewajiban kita terhadap hewan yang langka dan dilindungi negara?;C2;4;PPKN;Mengemukakan
Bagaimana menyusun pertanyaan yang baik?;C2;4;Bahasa Indonesia;Menguraikan
Tuliskan 3 contoh kalimat tanya yang ditunjukan kepada teman !;C2;4;Bahasa Indonesia;Mencontohkan
Bagaimana cara berkembang biak kupu – kupu?;C2;4;IPA;Menguraikan
Kita mempunyai kewajiban untuk peduli lingkungan, tetapi tidak semua orang sadar akan hal itu. Salah satu contoh akibat dari tidak peduli lingkungan yaitu banjir yang disebabkan oleh ..........;C1;4;IPA;Mencontohkan
Pertanyaan yang dapat diajukan korban kebakaran?;C2;4;Bahasa Indonesia;Mencontohkan
Manfaat tanaman jahe, kecuali …..;C2;4;IPA;Membedakan
Berikut hewan yang terancam punah di Indonesia, kecuali …..;C2;4;IPA;Membedakan
Bagaimana proses pembentukan pupuk kompos?;C2;4;IPA;Menguraikan
Sikap dalam kehidupan sehari-hari yang sesuai dengan pancasila sila pertama adalah;C2;5;PPKN;Mengemukakan
Yang bukan merupakan kelainan pada tulang manusia adalah ;C2;5;IPA;Membedakan
Yang bukan termasuk dalam permasalahn tri kerukukan umat beragama yaitu ….;C2;5;PPKN;Membedakan
Perilaku yang melanggar nilai pancasila;C2;5;PPKN;Mengkategorikan
Jelaskan kelainan pada otot manusia;C2;5;IPA;Menjelaskan
Jelaskan macam-macam otot pada manusia!;C2;5;IPA;Menjelaskan
Pemanfaatan sumber daya laut bagi ekonomi masyarakat adalah… ;C2;5;IPS;Menguraikan
untuk mencegah tejadi kelainan pad organ gerak, kecuali… ;C2;5;IPA;Membedakan
Bentuk tanggung jawab sebagai warga masyarakat adalah…;C2;5;PPKN;Mengemukakan
Tanggung jawab terhadap lingkungan sekolah adalah..;C2;5;PPKN;Mengemukakan
sikap yang tanggung jawab dalam kehidupan sehari- hari kecuali…;C2;5;PPKN;Membedakan
kalimat tanya yang menunjukkan sebab akibat adalah…;C2;5;Bahasa Indonesia;Mengkategorikan
Mata pencaharian di daerah laut kecuali…;C2;5;IPS;Membedakan
Kenampakan alam yang dapat di jadikan wisata kecuali..;C2;5;IPA;Membedakan
Berikut yang merupakan mata pencaharian dipegunungan yaitu…;C2;5;IPS;Membedakan
Berikut hewan yang bernapas dengan paru paru kecuali….;C2;5;IPA;Membedakan
Contoh hak dan kewajiban kita di lingkungan masyarakat adalah ...;C2;5;PPKN;Mencontohkan
Salah satu yang bukan bentuk kewajiban di lingkungan masyarakat...;C2;5;PPKN;Membedakan
Contoh usaha yang di kelola kelompok adalah ...;C2;5;IPS;Mencontohkan
salah satu yang bukan penyebab dari gangguan organ pernapasan pada manusia yang pada umumnya terjadi, antara lain ...;C2;5;IPA;Membedakan
Di bawah ibu salah satu penyebab penyakit asma kecuali ...;C2;5;IPA;Membedakan
Salah satu bentuk tanggung jawab sebagai warga negara dilingkungan sekitar adalah ….;C2;5;PPKN;Mengemukakan
salah satu bentuk tanggung jawab sebagai warga sekolah di lingkungan sekolah ...;C2;5;PPKN;Mengemukakan
sikap yang tidak mencerminkan tanggung jawab dalam kehidupan sehari-hari kecuali...;C2;5;PPKN;Membedakan
Salah satu cara menghargai kegiatan ekonomi yaitu …;C2;5;IPS;Mengemukakan
Manfaat menghargai kegiatan usaha ekonomi adalah, kecuali …..;C2;5;IPS;Membedakan
Di bawah ini yang tidak termasuk cara memelihara kesehatan alat pernafasan yaitu ...;C2;5;IPA;Membedakan
Salah satu cara menjaga kesehatan alat pernapasan yaitu . . . .;C2;5;IPA;Menjelaskan
Sebutkan salah satu contoh usaha ekonomi perorangan dan usaha ekonomi dikelola kelompok!;C2;5;IPS;Menjelaskan
bentuk keberagaman sosial di lingkungan masyarakat keculi...;C2;5;IPS;Membedakan
Yang merupakan contoh dari komponen sosial yang berkaitan dengan komponen alam adalah ...;C2;5;IPA;Mencontohkan
Bagian saluran pencernaan yang ada di luar dan dapat dilihat, jadi kita bisa menunjukkan dan mengamatinya dengan langsung yaitu …;C2;5;IPA;Mengemukakan
cara agar terhindar dari penyakit saluran pencernaan...;C2;5;IPA;Menjelaskan
Sebutkan 3 contoh ciri-ciri iklan yang baik...;C1;5;Bahasa Indonesia;Mengemukakan
Sebutkan 3 contoh bentuk interaksi manusia dengan lingkungan terhadap pembangunan ekonomi di lingkungan sekitar tempat tinggal ...;C1;5;IPS;Menjabarkan
Norma kesopanan atau adat istiadat antara masyarakat yang satu dengan yang lain berbeda-beda, namun memiliki tujuan yang sama, yaitu mewujudkan … .;C2;5;PPKN;Menerangkan
Sebutkan 3 cara pertolongan pertama ketika mengalami gejalan diare ...;C1;5;IPA;Menguraikan
Salah satu contoh keragaman sosial budaya dalam kehidupan bermasyarakat untuk memeprerat tali persaudaraan adalah ...;C2;5;PPKN;Mencontohkan
Salah satu contoh keragaman sosial dalam lingkungan sekolah adalah ...;C2;5;IPS;Mencontohkan
Berikut ini yang merupakan media elektronik adalah ....;C2;5;IPA;Membedakan
Berikut ini adalah unsur-unsur iklan, kecuali ....;C2;5;Bahasa Indonesia;Membedakan
Salah satu hal yang perlu diperhatikan dalam pembuatan iklan adalah ...;C2;5;Bahasa Indonesia;Menguraikan
Salah satu contoh kontak sosial dalam kehidupan sehari-hari adalah ...;C2;5;PPKN;Mencontohkan
Salah satu contoh tindakan yang dapat kita lakukan untuk mendukung kebergaman sosial di lingkungan sekolah adalah ...;C2;5;PPKN;Mencontohkan
gambar disaming menunjukkan pengamalan Pancasila sila ...;C3;6;PPKN;Menjelaskan
Berikut merupakan tujuan dilaksanakan musyawarah, kecuali ...;C2;6;PPKN;Membedakan
Informasi yang terdapat dalam teks diatas adalah....;C2;6;Bahasa Indonesia;Menguraikan
Berdasarkan teks diatas, taman nasional dibuat dengan tujuan ....;C2;6;Bahasa Indonesia;Menguraikan
Salah satu cara perkembangbiakkan hewan dengan cara bertelur, yang pada umumnya mempunyai ciri-ciri telurnya dierami sampai menetas merupakan pengertian dari ...;C1;6;IPA;Menguraikan
Jelaskan proses pembuahan pada tanaman jagung!;C2;6;IPA;Menjelaskan
Jelaskan kondisi geografis Asia Tenggara!;C2;6;IPS;Menjelaskan
Apa yang dimaksud dengan pengembangbiakan vegetative? Jelaskan!;C2;6;IPA;Menjelaskan
Berikut merupakan salah satu contoh perkembangbiakan vegetatif buatan  yaitu ...;C2;6;IPA;Menentukan
Berikut merupakan salah satu contoh perkembangbiakan vegetatif alami yaitu ....;C2;6;IPA;Mencontohkan
Dibawah ini contoh tanaman yang dapat digunakan sebagai pewarna makanan kecuali ....;C2;6;IPA;Membedakan
Jelaskan makna persatuan dan kesatuan bangsa indonesia;C2;6;PPKN;Menjelaskan
Bagaimana cara pohon bamboo beradaptasi dengan lingkungan? Jelaskan!;C2;6;IPA;Menjelaskan
Deskripsikan tentang sosok Abdul Latif dengan baik!;C2;6;IPS;Menguraikan
“menyatunya berbagai unsur dan perbedaan yang ada menjadi suatu kesatuan yang utuh dan serasi sehingga muncul suatu kekuatan” merupakan makna dari semboyan bangsa Indonesia yaitu ...;C1;6;PPKN;Menguraikan
Yang bukan merupakan manfaat hewan bagi manusia dan lingkungan yaitu ....;C2;6;IPA;Membedakan
Yang bukan merupakan manfaat tumbuhan bagi manusia dan lingkungan yaitu ...;C2;6;IPA;Membedakan
Apa saja upaya yang dilakukan oleh bangsa Indonesia untuk meningkatkan kesejahteraan rakyat di awal masa kemerdekaan Indonesia!;C2;6;PPKN;Menjelaskan
Dibawah ini merupakan kandungan dari teks eksplanasi kecuali ...;C2;6;Bahasa Indonesia;Membedakan
Jelaskan bagaimana perkembangan komputer saat ini!;C2;6;IPA;Menjelaskan
Bagaimana  proses penemuan  pensil hingga menjadi bentuk pensil seperti sekarang dengan proses pembuatan yang lebih modern?;C2;6;IPA;Menjelaskan
Ikut berpartisipasi dalam pembangunan dan kesejahteraan umum merupakan .... sebagai warga negara yang baik ;C2;6;PPKN;Menjalin
Membayar pajak tepat waktu merupakan .... sebagai warga negara yang baik ;C2;6;PPKN;Menjalin
Berikut teori yang ditulis oleh B.J Habibie yang dipakai oleh Universitas di Dunia, kecuali ….;C2;6;IPA;Membedakan
Berikut alat transportasi modern kecuali …..;C2;6;IPA;Membedakan
Yang bukan pemanfaatan teknologi modern bagi kehidupan manusia …..;C2;6;IPA;Membedakan
Berikut yang bukan merupakan teknologi tanpa kabel yaitu …..;C2;6;IPA;
Berikut penemuan yang sangat bermanfaat dalam bidang komunikasi kehidupan modern yaitu ….;C2;6;IPA;Mencontohkan
Berikan contoh hak sebagai warga negara!;C2;6;PPKN;Mencontohkan
Bagaimana penulisan kosakata baku berikan contohnya !;C2;6;Bahasa Indonesia;Mencontohkan
Tuliskan perbedaan rangkaian seri dan parallel !;C2;6;IPA;Membedakan
Berikan contoh alat transportasi masal modern !;C2;6;IPA;Mencontohkan
Jelaskan yang di maksud kalimat ajakan dan berikan contohnya!;C2;2;Bahasa Indonesia;Menerapkan
Jika ada teman yang gagal memenangkan lomba, sikap kita sebaiknya ...;C5;3;PPKN;Menerapkan
Apa saja yang perlu di persiapkan sebelum melakukan wawancara dengan narasumber?;C2;4;Bahasa Indonesia;Menerapkan
Jenis gangguan sistem pencernaan yang sering terjadi pada gambar yang ditunjuk di atas adalah ….;C1;5;IPA;Menjelaskan
Interaksi manusia dengan lingkungan yang berpengaruh terhadap pembangunan budaya masyarakat Indonesia ...;C2;5;PPKN;Menjelaskan
Apa bedanya pasar yang sibuk dan pasar yang tidak sibuk ?;C2;1;Bahasa Indonesia;Menjelaskan
Apa perbedaan uang logam dan uang kertas?;C2;1;Bahasa Indonesia;Menjelaskan
Apakah kamu melihat adanya perbedaan pada kedua gambar tersebut?;C2;6;Bahasa Indonesia;Menjelaskan
Perbandingan yang tepat adalah… ;C2;1;Matematika;Mengemukakan
Perilaku yang mencerminkan dari sila ketiga di sekolah kecuali…;C2;2;PPKN;Menjelaskan
Dibawah ini manakah benda yang mengandung gas!;C2;2;IPA;Mengkategorikan
Paragraf diatas merupakan jenis paragraf …..;C1;4;Bahasa Indonesia;Mengemukakan
Seiring berjalannya waktu, tersedianya air bersih semakin menipis namun kebutuhan air bagi manusia semakin meningkat. Hal tersebut dikarenakan pencemaran air tanah yang dihasilkan oleh manusia, Bahkan beberapa wilayah tidak tersedia air bersih dan masyarakat terpaksa harus membelinya. Berikut upaya  pelestarikan air bersih, kecuali….;C2;4;IPA;Mengemukakan
Yang merupakan energi altenatif, kecuali ….;C2;4;IPA;Menjelaskan
Yang bukan merupakan pemanfaatan sungai yaitu ….;C2;4;IPA;Mengkategorikan
Bagaimana perbedaan tanaman padi dengan teh di lihat dari letak geografisnya?;C2;4;IPA;Menjelaskan
Bebek dan ayam merupakan jenis hewan unggas namun mempunyai habitat hidup yang erbeda. Apa perbedaan karakterisik tempat hidup bebek dan ayam?;C2;4;IPA;Menjelaskan
Salah satu bentuk cinta lingkungan yaitu dengan cara menjaga kebersihan lingkungan. Berikut manfaat menjaga kebersihan lingkungan, kecuali …..;C2;4;IPA;Mengkategorikan
Salah satu cara menghijaukan lahan dengan menanam tanaman-tanaman yang bermanfaat, misalnya tanaman obat.Yang bukan merupakan tanaman obat yaitu .............;C2;4;IPA;Mengkategorikan
Kegiatan apa saja yang dapat merusak kelestarian flora dan fauna di Indonesia?;C2;4;IPA;Menjelaskan
Jelaskan pengaruh kondisi geografis indonesia terhadap kehidupan ekonomi masyarakat!;C2;5;IPS;Menjelaskan
dibawah ini bentuk interaksi manusia dengan lingkungan keculai ...;C2;5;IPA;Mengkategorikan
Yang bukan merupakan makna persatuan dan kesatuan bangsa Indonesia ....;C2;6;PPKN;Mengkategorikan
Dibawah ini merupakan ciri-ciri kalimat efektif kecuali .....;C2;6;Bahasa Indonesia;Mengkategorikan
Prinsip-prinsip yang berhubungan dengan arti dan makna persatuan Indonesia ditunjukkan oleh nomor ...;C1;6;PPKN;Mengkategorikan
Berikut merupakan contoh sikap yang mencerminkan persatuan dan kesatuan dalam kehidupan sehari-hari, kecuali ....;C2;6;PPKN;Mencontohkan
Berdasarkan pernyataan diatas, yang merupakan hak di rumah ditunjukkan oleh abjad ....;C2;6;PPKN;Memperkirakan
Berdasarkan pernyataan diatas, yang merupakan hak di sekolah ditunjukkan oleh abjad ....;C2;6;PPKN;Memperkirakan
Berdasarkan pernyataan diatas, yang merupakan kewajiban di sekolah ditunjukkan oleh abjad ....;C2;6;PPKN;Memperkirakan
Berdasarkan pernyataan diatas, yang merupakan kewajiban di rumah ditunjukkan oleh abjad ....;C2;6;PPKN;Memperkirakan
Berdasarkan pernyataan diatas, yang merupakan kewajiban di masyarakat ditunjukkan oleh abjad ....;C2;6;PPKN;Memperkirakan
Berikut penyataan yang benar kosakata baku – tidak baku, kecuali …..;C2;6;Bahasa Indonesia;Mengkategorikan
Apa pengalamanmu ketika melaksanakan tanggung jawab sebagai warga negara dalam kehidupan sehari-hari?;C2;6;PPKN;Menjelaskan
Nino bertindak curang ketika bermain sepak bola dengan teman-temannya. Nino menunjukkan sikap......;C2;1;PPKN;Menjalin
Doni kalah saat bertanding bulu tangkis di sekolah. Kegiatan yang tidak boleh dilakukan Doni di rumah  adalah....;C2;1;PPKN;Mengemukakan
Kita melihat teman bertengkar di kelas. Maka sikap kita ….;C2;1;PPKN;Menjalin
"Penulisan ""pantai ancol"" yang benar adalah …";C2;2;Bahasa Indonesia;Menjalin
Pukul berapa yang ditunjukkan oleh jarum jam diatas ...;C2;2;Matematika;Menerangkan
Made tidak setuju dengan pendapat Ale. Made sebaiknya menyampaikan kalimat ....;C2;2;Bahasa Indonesia;Mengemukakan
Ani sedang membantu ibu menanam bunga Mawar. Ani menggambarkan sikap ....;C2;2;PPKN;Mengemukakan
Tidak membeda-bedakan teman adalah sikap ….;C2;2;PPKN;Mengemukakan
Rino bermain layang-layang saat angin bertiup kencang. Kata terkait benda gas pada kalimat di atas adalah ............;C2;2;Bahasa Indonesia;Mengkategorikan
Topi itu berbentuk bundar. Kata terkait benda padat pada kalimat di atas adalah ............;C2;2;Bahasa Indonesia;Menguraikan
Contoh musyawarah di rumah ialah membahas ....;C2;2;PPKN;Mencontohkan
Adi menggambar imajinasi, keadaan yang terkena banjir objek yang digambar Adi adalah.......;C2;2;Bahasa Indonesia;Menjabarkan
Tulislah dua kegiatan yang menunjukkan persatuan di lingkungan   rumah.;C2;2;PPKN;Mencontohkan
Apa saja contoh perilaku yang menunjukkan persatuan di sekolah;C2;2;PPKN;Mencontohkan
Rania dan teman-teman mengerjakan tugas kelompok. Setiap anak memiliki . tugas berbeda. Meskipun demikian, mereka tidak pernah bertengkar. Rania dan teman-teman telah menunjukkan sikap ....;C2;3;PPKN;Mengemukakan
Jam diatas menunjukkan pukul…;C2;3;Matematika;Menguraikan
Berapa nilai pecahan pada gambar di bawah ini?;C2;3;Matematika;Menguraikan
Keseimbangan hak dan kewajiban dapat ditunjukkan dengan cara . . . .;C2;4;PPKN;Mengemukakan
Tumbuhan dan hewan sebagai sumber daya hayati memiliki manfaat yang banyak bagi kehidupan manusia. Jelaskan manfaatnya pada produk kesehatan!;C2;4;IPA;Menjelaskan
Sebutkan empat contoh perilaku yang menunjukkan sikap patuh terhadap keputusan musyawarah di lingkungan keluarga!;C1;4;PPKN;Mencontohkan
Contoh kalimat intransitif dengan menggunakan keterangan waktu adalah…;C2;4;Bahasa Indonesia;Mencontohkan
Apa upaya yang bisa kalian lakukan untuk menjaga kekayaan hayati ini?;C2;5;IPS;Mengemukakan
Apa yang bisa kalian lakukan untuk membantu teman atau keluarga yang terkena bencana alam?;C2;5;IPS;Mengemukakan
Pamanku bernama Taufik Hidayat. Beliau seorang sarjana dari Jurusan Hukum di UNPAD. Tahun yang lalu beliau telah mendapat kesempatan untuk menunaikan ibadah ke tanah suci Mekah. Ketika beliau harus mengisi daftar riwayat hidupnya, maka ditulisnya ....;C2;6;Bahasa Indonesia;Mengemukakan
Sebutkan perilaku positif memaknai Proklamasi Kemerdekaan Indonesia dilingkungan sekolah!;C1;6;PPKN;Menguraikan
Membersihkan alat reproduksi saat mandi dan setelah buang air merupakan salah satu upaya ….;C2;6;IPA;Menguraikan
Cara menghargai jasa para pahlawan kemerdekaan yang dapat dilakukan oleh  setiap warga negara adalah ...;C2;6;PPKN;Mengemukakan
Sikap yang harus ditunjukkan keluarga Rani untuk menjaga persatuan adalah …;C2;6;PPKN;Mencontohkan
Tolong, ambilkan buku itu! Kalimat di atas termasuk kalimat ….;C2;1;Bahasa Indonesia;Mengasosiasi
Meli memotong kulit jagung. Alat yang digunakan adalah;C2;1;Seni Budaya;Mengasosiasikan
Apa kegunaan spidol dalam pembuatan boneka hiasan pensil dari kulit jagung?;C2;1;Seni Budaya;Menjelaskan
gambar dibawah ini adalah salah satu langkah membuat hiasan dari kulit telur bekas, yaitu langkah ...;C2;1;Seni Budaya;Mengkategorikan
manakah yang bukan termasuk kegiatan kerja sama?;C2;1;PPKN;Memperkirakan
suara ombak adalah contoh bunyi yang berasal dari….;C1;1;IPA;Menguraikan
Saat melakukan gerak keseimbangan, bagian tubuh yang digunakan untuk menjaga keseimbangan adalah;C2;1;Olahraga;Menjelaskan
Apakah kamu mau bermain denganku? Kalimat yang memiliki intonasi yang sama dengan kalimat di atas adalah ….;C2;1;Bahasa Indonesia;Mengasosiasikan
Tempo yang digunakan pada lagu “Burung Kakak Tua” di atas adalah ............;C1;1;Seni Budaya;Menguraikan
